OSM ID,Functionality,Original Global Efficiency,New Global Efficiency,Change in Efficiency,Normalized Efficiency Change,Relative Efficiency Change,Absolute Relative Efficiency Change,Norm_Func,Norm_Eff,Criticality Score,Buffer Distance (km)
610852287,55.88,0.004739021,0.004731469,-7.55E-06,7.55e-06,-0.001593156,0.001593156,0.8098262656454325,0.0020699,0.40594808276877337,5
26373638,56.03,0.011320203,0.01130361,-1.66E-05,1.66e-05,-0.001466405,0.001466405,0.8070240986362788,0.004650147,0.40583712281954326,5
31030379,56.7,0.005242015,0.005192822,-4.92E-05,4.92e-05,-0.009385704,0.009385704,0.7945077526620586,0.013944738804863752,0.4042262457334612,5
26296167,61.16,0.012561786,0.012221992,-0.000339794,0.000339794,-0.027049816,0.027049816005462916,0.7111899869232208,0.096796046,0.4039930163935922,5
26296167,61.22,0.012561786,0.012221992,-0.000339794,0.000339794,-0.027049816,0.027049816005462916,0.7100691201195592,0.096796046,0.40343258299176143,5
400456850,57.56,0.008670886,0.008610578,-6.03E-05,6.03e-05,-0.006954307,0.006954307,0.7784419951429106,0.017109461780410423,0.3977757284616605,5
71506081,56.92,0.005210491,0.005192969,-1.75E-05,1.75e-05,-0.003358609,0.003358609,0.7903979077152998,0.004906746,0.39765232693914354,5
1056870509,58.16,0.008144234,0.008051904,-9.23E-05,9.23e-05,-0.011333171,0.011333171419190557,0.7672333271062957,0.026232987,0.3967331572909879,5
32283967,59.58,0.012138274,0.011980396,-0.000157878,0.000157878,-0.013006627,0.013006627,0.7407061460863069,0.044929943,0.39281804440668716,5
165574116,59.28,0.004299969,0.004191537,-0.000108433,0.000108433,-0.025217159,0.025217159,0.7463104801046143,0.030832669976985905,0.3885715750408001,5
406333258,60.28,0.003884904,0.003712916,-0.000171988,0.000171988,-0.044270849,0.044270849,0.727629367,0.048952847,0.3882911070242907,5
147013898,60.98,0.020267688,0.020050249,-0.000217439,0.000217439,-0.010728357,0.010728357,0.7145525873342052,0.06191139,0.38823198868588565,5
51388059,57.71,0.004750189,0.004748005,-2.18E-06,2.18e-06,-0.000458929,0.000458929,0.7756398281337569,0.000538858,0.3880893431850669,5
95787880,58.84,0.008964057,0.008898149,-6.59E-05,6.59e-05,-0.007351582,0.007351582,0.7545301699981319,0.018706078777082615,0.3866181243876073,5
295910006,60.91,0.010880856,0.010703942,-0.000176914,0.000176914,-0.016259199,0.016259199,0.7158602652718103,0.0503573,0.3831087826734257,5
23750997,58.42,0.003711063,0.003698842,-1.22E-05,1.22e-05,-0.003287468,0.003287468,0.7623762376237624,0.003395662,0.3828859499217353,5
813798921,58.28,0.002047467,0.002045816,-1.65E-06,1.65e-06,-0.000805874,0.000805874,0.7649915934989726,0.00038775,0.38268967167051077,5
299260375,59.64,0.014695876,0.014609743,-8.61E-05,8.61e-05,-0.005858787,0.005858787,0.7395852792826453,0.024465304,0.38202529182743344,5
26296167,63.7,0.012561786,0.012221992,-0.000339794,0.000339794,-0.027049816,0.027049816005462916,0.6637399589015505,0.096796046,0.38026800238275704,5
23441428,58.62,0.00522579,0.005220478,-5.31E-06,5.31e-06,-0.001016114,0.001016114,0.7586400149448909,0.001431253,0.3800356340191681,5
55600441,59.31,0.008380775,0.008334407,-4.64E-05,4.64e-05,-0.005536481,0.005536481,0.7457500467027836,0.013146430306527655,0.3794482385046556,5
27896100,59.58,0.00255943,0.002496492,-6.29E-05,6.29e-05,-0.024575784,0.024575784,0.7407061460863069,0.017850748243151082,0.379278447,5
27896100,59.64,0.00255943,0.002496492,-6.29E-05,6.29e-05,-0.024575784,0.024575784,0.7395852792826453,0.017850748243151082,0.37871801376289815,5
26647643,59.12,0.006690924,0.006662969,-2.80E-05,2.8e-05,-0.004184773,0.004184773,0.7492994582477117,0.007900403,0.37859993063972963,5
31030379,59.47,0.005242015,0.005192822,-4.92E-05,4.92e-05,-0.009385704,0.009385704,0.7427610685596862,0.013944738804863752,0.378352904,5
31030379,59.51,0.005242015,0.005192822,-4.92E-05,4.92e-05,-0.009385704,0.009385704,0.7420138240239119,0.013944738804863752,0.37797928141438786,5
31030379,59.57,0.005242015,0.005192822,-4.92E-05,4.92e-05,-0.009385704,0.009385704,0.7408929572202504,0.013944738804863752,0.3774188480125571,5
31030379,59.6,0.005242015,0.005192822,-4.92E-05,4.92e-05,-0.009385704,0.009385704,0.7403325238184196,0.013944738804863752,0.3771386313116417,5
456635131,67.02,0.007194,0.006671628,-0.000522371,0.000522371,-0.072612038,0.072612038,0.6017186624322811,0.1488506068285028,0.37528463463039197,5
406333255,64.18,0.00742157,0.007088995,-0.000332575,0.000332575,-0.044811947,0.044811947,0.6547730244722585,0.094737835,0.37475542998070244,5
1101298640,59.44,0.004583582,0.00456904,-1.45E-05,1.45e-05,-0.003163465,0.003163465,0.743321502,0.004051416,0.37368645879528634,5
231702721,59.48,0.005177153,0.005173246,-3.91E-06,3.91e-06,-0.000755241,0.000755241,0.7425742574257427,0.001032099,0.371803178,5
315099160,69.77,0.006225145,0.005559137,-0.000666008,0.000666008,-0.106986745,0.1069867448870669,0.5503456005977958,0.18980297746261066,0.37007428903020323,5
27834821,60.54,0.006292158,0.006241313,-5.08E-05,5.08e-05,-0.008073542,0.008073542,0.7227722772277229,0.014400915089627235,0.36858659615867506,5
27896213,59.91,0.004529071,0.004526623,-2.45E-06,2.45e-06,-0.00054095,0.00054095,0.7345413786661686,0.000615838,0.36757860832529965,5
